,Make,Model,Buyer_Gender,Buyer_Age,Buzzword,Country,City,Dealer_Latitude,Dealer_Longitude,Color,New_Car,Purchase_Date,Sale_Price,Discount,Resell_Price,5-yr_Depreciation,Top_Speed,0-60_Time
0,Suzuki,Vitara,Female,51,User-friendly,Belgium,Antwerpen,51.2472392,4.4403455,Yellow,False,2009-07-19,54806.14,0.2467,33858.32,0.13,200.9,11.5
1,Honda,S2000,Male,30,analyzing,China,Jinhu,33.025433,119.020584,Crimson,False,2015-10-26,51826.3,0.3147,2989.28,0.02,158.5,8.8
2,BMW,Z4,Female,54,software,China,Gemo,30.9162065,121.6776404,Khaki,False,2010-03-28,82929.14,0.5414,35049.16,0.24,149.5,14.4
3,Toyota,Tacoma,Male,68,monitoring,Portugal,Queluz de Baixo,38.7451684,-9.2670871,Puce,False,2008-07-05,56928.66,0.085,8236.15,0.2,153.3,11.5
4,Ford,Festiva,Male,70,Sharable,Latvia,Jaunpils,56.72998,23.0165879,Yellow,False,2008-01-06,77201.26,0.1642,32765.76,0.18,122.0,14.9
5,Buick,Skylark,Female,70,Vision-oriented,Mexico,Guadalupe,25.6775595,-100.2596935,Crimson,False,2007-05-17,50882.23,0.6913,38576.59,0.16,182.7,9.6
6,Infiniti,QX,Male,66,throughput,Japan,Gosen,37.7525244,139.1650556,Fuscia,True,2017-11-08,69680.54,0.1657,27962.25,0.18,231.8,5.3
7,Ram,C/V,Male,37,circuit,Russia,Izborsk,57.708244,27.8608831,Aquamarine,True,2007-11-23,56393.91,0.1006,29157.95,0.14,144.1,4.7
8,GMC,Safari,Male,43,bottom-line,Luxembourg,Eschweiler,49.99754,5.9475635,Mauv,True,2003-03-16,13797.81,0.2126,31062.38,0.01,223.3,5.8
9,Nissan,Altima,Female,73,Grass-roots,Cyprus,Meneou,34.8582652,33.6007892,Puce,True,2019-05-19,15176.04,0.1922,45892.79,0.12,170.4,4.1
10,Toyota,Previa,Female,67,Horizontal,Brazil,Freguesia do Ribeirao da Ilha,-27.7203552,-48.563999,Violet,True,2004-02-03,82844.12,0.1651,4740.87,0.05,135.4,8.9
11,Scion,xB,Female,29,contingency,China,Chengbei,36.650038,101.766228,Green,True,2008-09-09,95681.78,0.5507,16358.27,0.08,136.4,4.1
12,Porsche,928,Female,37,discrete,Philippines,Pangal Sur,16.67064,121.71581,Fuscia,False,2020-01-26,90954.5,0.3937,40650.31,0.1,213.9,2.5
13,Lexus,HS,Male,43,groupware,Paraguay,Villa Elisa,-25.3823822,-57.5872528,Turquoise,False,2014-06-28,46666.83,0.6937,33634.37,0.08,134.1,4.4
14,GMC,Yukon,Male,41,Total,Mexico,San Isidro,20.7303804,-103.3977222,Teal,True,2020-06-10,11280.0,0.2396,9279.51,0.08,248.7,7.3
15,Mitsubishi,Mirage,Male,21,zero administration,China,Dalu,25.606486,100.267638,Indigo,False,2011-04-14,23110.07,0.6385,41916.47,0.04,245.6,3.4
16,Dodge,Viper,Male,57,transitional,Indonesia,Sumberejo,-7.2030729,112.0237903,Teal,True,2004-10-17,77346.39,0.6078,32280.44,0.18,159.8,8.2
17,Mazda,B2500,Female,54,superstructure,Togo,Tchamba,9.029518,1.4168974,Crimson,True,2002-09-27,15500.07,0.6852,20175.47,0.04,185.6,5.4
18,Land Rover,LR3,Male,37,Open-architected,Palestinian Territory,Ar Ramāḑīn,31.375657,34.905759,Aquamarine,False,2015-09-28,84151.25,0.1375,49656.3,0.05,120.6,13.0
19,Isuzu,Space,Female,66,Grass-roots,China,Dengteke,48.6429165,124.5597559,Green,False,2009-10-20,97058.87,0.1654,21985.35,0.21,136.6,8.5
20,Acura,TL,Female,43,bandwidth-monitored,Iran,Rāmhormoz,31.2777088,49.5993167,Red,True,2005-05-15,74986.42,0.0637,31655.99,0.02,125.2,11.8
21,Pontiac,Bonneville,Female,56,didactic,Hong Kong,Hong Kong,22.396428,114.109497,Pink,True,2003-05-22,63314.15,0.4378,36647.24,0.09,175.4,12.1
22,Dodge,Dakota Club,Male,53,incremental,Bangladesh,Jessore,23.1387718,89.2502399,Yellow,False,2007-04-29,77520.81,0.6809,23681.6,0.24,143.7,13.0
23,Audi,Cabriolet,Female,55,matrices,Ecuador,Macas,-2.3062241,-78.1153707,Puce,True,2008-07-23,78231.21,0.2408,5938.36,0.02,155.0,3.4
24,Pontiac,Sunfire,Male,32,workforce,Afghanistan,Khudāydād Khēl,35.17835,67.68758,Maroon,True,2020-01-21,62931.23,0.0491,27403.55,0.17,126.2,10.8
25,Citroën,2CV,Male,47,Pre-emptive,Kazakhstan,Zhangatas,43.56667,69.75,Green,False,2018-12-23,44071.48,0.6185,43216.49,0.06,245.1,13.9
26,Ford,Tempo,Female,72,Horizontal,Philippines,Binalonan,16.0655913,120.5877148,Pink,False,2008-07-11,65774.81,0.0937,33514.28,0.12,247.5,7.1
27,Buick,LeSabre,Male,47,Object-based,United States,Jacksonville,30.3321838,-81.655651,Puce,True,2006-01-26,16281.78,0.2986,43289.16,0.03,248.2,3.8
28,Saab,9-2X,Male,67,Innovative,Poland,Łąck,52.4506032,19.6362734,Pink,False,2019-02-26,99305.5,0.5959,6753.2,0.24,120.3,8.2
29,Buick,Skylark,Female,57,bottom-line,China,Dasiping,41.318142,124.719659,Violet,True,2020-05-04,57747.61,0.0135,31158.31,0.01,220.2,3.9
30,Ford,Escape,Male,42,5th generation,France,Saint-Étienne,45.4381658,4.3868779,Crimson,True,2002-09-27,56105.94,0.5192,48912.1,0.13,205.3,4.2
31,Mercury,Sable,Female,66,Open-architected,China,Longgao,34.954134,108.320121,Orange,False,2006-03-12,54543.15,0.6549,39275.37,0.22,185.2,5.8
32,Plymouth,Colt,Female,67,circuit,Indonesia,Gudang,-7.266667,111.866667,Teal,False,2003-05-09,98635.22,0.6865,12622.44,0.12,130.6,3.5
33,Infiniti,G,Female,68,Realigned,Vietnam,Thành Phố Hạ Long,20.9711977,107.0448069,Goldenrod,False,2014-11-16,14908.65,0.0943,44991.92,0.23,140.7,8.9
